,text,pred
0,"RT @_AmranFans: Alhamdulillah, kedai makan dh boleh beroperasi sampai 10 mlm. Akhirnya kerajaan faham bahawa Covid 19 bukan keluar selepas…",1
1,"Mulai kepikiran tentang konspirasi covid, kenapa ya pilek biasa dibilang covid? Kenapa  swap pcr itu mahal? Gimana… https://t.co/7zdlCBRjW8",1
2,RT @kemasnotariza: FYI sekarang itu pemeriksaan swab PCR banyak yg pending hasilnya karena tingginya load pemeriksaan di berbagai lab. Jadi…,0
3,"Anjir takot banget sama covid, dan baru kali ini separno ini. Gila gilaaaa pantesan sih ppkm itu nutup resto atau m… https://t.co/DO0R6zjNwD",0
4,"Jadi guru juga punya PR. PRnya adalah bagaimana caranya mengedukasi orang sekitar yang tidak percaya covid? 
Mau memaksakan tapi mengcapek.",-1
5,"RT @hanimomo: Bukak kilang sebab takut GDP affected, tapi affected juga. Dan rakyat nak 5,000 ni mati sebab covid. Belum campur sebab desak…",1
6,"RT @9itmr: Sampai hari ini Bagana Satkorcab Banser Kudus masih melakukan pemulasaraan covid-19.

Pake terus maskernya ya, badai belum surut…",0
7,RT @kompascom: Ikatan Ahli Kesehatan Masyarakat Indonesia (IAKMI) juga mendesak pemerintah agar segera menerapkan lockdown sebagaimana tela…,1
8,RT @Media_Selangor: SelangorKini |  Covid-19: Empat korban baharu babit individu 20-an https://t.co/ye8MfHFmhH https://t.co/crNYgAnP4o,1
9,"Sama covid gapercaya, sama dia pas bilang ""aku janji gabakal ninggalin kamu"" percaya.
Dasar kita!",0
10,"RT @rzrizaldy: DPR memang gunanya utk mewakili rakyat, yang pingin jalan2 ke Bali diwakilin dewan nya aja, yang kena covid ya ttp rakyatnya…",0
11,"RT @yiyieeen: Rayuan operasi kedai makan hang dengar. Rayuan tutup kilang dari tahun lepas tak dengar ke, buat buat tak dengar? Sebab bila…",1
12,"RT @DGHisham: COVID-19: 27 Jun 2021

J kes sembuh: 4,777
J kumulatif: 667,709 (90.96%)

J kes baru: 5,586 
J kumulatif: 734,048

J kes akti…",1
13,"the covid case getting higher each day, and yet people here didn't even care and still don't wear mask. pleasee gue… https://t.co/6NfdDY8kFZ",1
14,"Kasus COVID-19 makin gila, yuuk patuhi prokes ketat: Pakai Masker, Cuci Tangan dan Jaga Jarak (3M) 
https://t.co/KOPl3Mb9Mp",1
15,"Kerap Munculkan Kasus Negatif Covid Palsu, YLKI Tolak GeNose https://t.co/y9eHOwH8Zw",-1
16,RT @e100ss: Matt Hancock Menteri Kesehatan Inggris pada Sabtu (26/6/2021) menyatakan mundur setelah ketahuan melanggar aturan Covid-19. (hm…,1
17,"RT @hanimomo: Bukak kilang sebab takut GDP affected, tapi affected juga. Dan rakyat nak 5,000 ni mati sebab covid. Belum campur sebab desak…",1
18,"RT @PDemokrat: Sahabat Demokrat, pandemi Covid-19 yang akhir-akhir ini semakin meningkat di Indonesia, membuat masyarakat semakin khawatir.…",0
19,"RT @nirsha97: Sejak pendemik covid 19 ni, ramai yang struggle utk survive. Begitu juga kakak sulung saya dan suaminya. Income terjejas. Nak…",0
20,SelangorKini |  Covid-19: Empat korban baharu babit individu 20-an https://t.co/ye8MfHFmhH https://t.co/crNYgAnP4o,1
21,"RT @my_beelovesme: COVID ITU NYATA BOSS....
Ini bukan saatnya unjuk siapa yang paling hebat, 
Bukan saatnya saling menyalahkan
Setiap hari…",1
22,"RT @hanimomo: Bukak kilang sebab takut GDP affected, tapi affected juga. Dan rakyat nak 5,000 ni mati sebab covid. Belum campur sebab desak…",1
